PS D:\dynamic> python dup-count-of-ids.py

===== ID COUNTS =====
ID 15972 → 2 files
ID 15973 → 2 files
ID 15979 → 2 files
ID 15984 → 2 files
ID 15986 → 2 files
ID 15997 → 2 files
ID 15999 → 2 files
ID 16000 → 2 files
ID 16001 → 2 files
ID 16002 → 2 files
ID 16008 → 2 files
ID 16009 → 2 files
ID 16012 → 2 files
ID 16015 → 2 files
ID 16016 → 2 files
ID 16022 → 2 files
ID 16023 → 2 files
ID 16024 → 2 files
ID 16025 → 2 files
ID 16027 → 2 files
ID 16029 → 2 files
ID 16031 → 2 files
ID 16043 → 2 files
ID 16047 → 2 files
ID 16053 → 2 files
ID 16057 → 2 files
ID 16059 → 2 files
ID 16064 → 2 files
ID 16066 → 2 files
ID 16068 → 2 files
ID 16069 → 2 files
ID 16074 → 2 files
ID 16075 → 2 files
ID 16076 → 2 files
ID 16081 → 2 files
ID 16084 → 2 files
ID 16102 → 2 files
ID 16112 → 2 files
ID 16120 → 2 files
ID 16127 → 2 files
ID 16129 → 2 files
ID 16138 → 2 files
ID 16150 → 2 files
ID 16155 → 2 files
ID 16158 → 2 files
ID 16159 → 2 files
ID 16164 → 2 files
ID 16167 → 2 files
ID 16168 → 2 files
ID 16170 → 2 files
ID 16174 → 2 files
ID 16178 → 2 files
ID 16180 → 2 files
ID 16182 → 2 files
ID 16183 → 2 files
ID 16184 → 2 files
ID 16211 → 2 files
ID 16235 → 2 files
ID 16240 → 2 files
ID 16253 → 2 files
ID 16255 → 2 files
ID 16258 → 2 files
ID 16262 → 2 files
ID 16267 → 2 files
ID 16269 → 2 files
ID 16270 → 2 files
ID 16273 → 2 files
ID 16275 → 2 files
ID 16278 → 2 files
ID 16283 → 2 files
ID 16292 → 2 files
ID 16295 → 2 files
ID 16301 → 2 files
ID 16303 → 2 files
ID 16306 → 2 files
ID 16307 → 2 files
ID 16314 → 2 files
ID 16324 → 2 files
ID 16327 → 2 files
ID 16329 → 2 files
ID 16330 → 2 files
ID 16336 → 2 files
ID 16339 → 2 files
ID 16342 → 2 files
ID 16343 → 2 files
ID 16346 → 2 files
ID 16348 → 2 files
ID 16349 → 2 files
ID 16351 → 2 files
ID 16353 → 2 files
ID 16356 → 2 files
ID 16359 → 2 files
ID 16364 → 2 files
ID 16369 → 2 files
ID 16371 → 2 files
ID 16372 → 2 files
ID 16373 → 2 files
ID 16382 → 2 files
ID 16388 → 2 files
ID 16390 → 2 files
ID 16393 → 2 files
ID 16394 → 2 files
ID 16403 → 2 files
ID 16412 → 2 files
ID 16414 → 2 files
ID 16416 → 2 files
ID 16417 → 2 files
ID 16423 → 2 files
ID 16425 → 2 files
ID 16429 → 2 files
ID 16432 → 2 files
ID 16438 → 2 files
ID 16440 → 2 files
ID 16441 → 2 files
ID 16442 → 2 files
ID 16447 → 2 files
ID 16448 → 2 files
ID 16450 → 2 files
ID 16454 → 2 files
ID 16455 → 2 files
ID 16457 → 2 files
ID 16458 → 2 files
ID 16467 → 2 files
ID 16468 → 2 files
ID 16471 → 2 files
ID 16472 → 2 files
ID 16477 → 2 files
ID 16478 → 2 files
ID 16482 → 2 files
ID 16484 → 2 files
ID 16488 → 2 files
ID 16496 → 2 files
ID 16501 → 2 files
ID 16503 → 2 files
ID 16504 → 2 files
ID 16508 → 2 files
ID 16513 → 2 files
ID 16515 → 2 files
ID 16518 → 2 files
ID 16523 → 2 files
ID 16529 → 2 files
ID 16533 → 2 files
ID 16547 → 2 files
ID 16552 → 2 files
ID 16650 → 2 files
ID 16664 → 2 files
ID 16666 → 2 files
ID 16696 → 2 files
ID 16706 → 2 files
ID 16716 → 2 files
ID 16763 → 2 files
ID 16778 → 2 files
ID 16781 → 2 files
ID 16789 → 2 files
ID 16800 → 2 files
ID 16801 → 2 files
ID 16802 → 2 files
ID 16805 → 2 files
ID 16814 → 2 files
ID 16819 → 2 files
ID 16822 → 2 files
ID 16824 → 2 files
ID 16831 → 2 files
ID 16834 → 2 files
ID 16836 → 2 files
ID 16838 → 2 files
ID 16843 → 2 files
ID 16844 → 2 files
ID 16858 → 2 files
ID 16863 → 2 files
ID 16864 → 2 files
ID 16869 → 2 files
ID 16871 → 2 files
ID 16878 → 2 files
ID 16879 → 2 files
ID 16880 → 2 files
ID 16882 → 2 files
ID 16885 → 2 files
ID 16889 → 2 files
ID 16890 → 2 files
ID 16893 → 2 files
ID 16897 → 2 files
ID 16898 → 2 files
ID 16899 → 2 files
ID 16900 → 2 files
ID 16903 → 2 files
ID 16905 → 2 files
ID 16906 → 2 files
ID 16907 → 2 files
ID 16910 → 2 files
ID 16915 → 2 files
ID 16918 → 2 files
ID 16922 → 2 files
ID 16926 → 2 files
ID 16929 → 2 files
ID 16931 → 2 files
ID 16934 → 2 files
ID 16935 → 2 files
ID 16942 → 2 files
ID 16943 → 2 files
ID 16948 → 2 files
ID 16950 → 2 files
ID 16953 → 2 files
ID 16954 → 2 files
ID 16956 → 2 files
ID 16967 → 2 files
ID 16982 → 2 files
ID 16989 → 2 files
ID 16990 → 2 files
ID 17000 → 2 files
ID 17002 → 2 files
ID 17009 → 2 files
ID 17010 → 2 files
ID 17015 → 2 files
ID 17016 → 2 files
ID 17020 → 2 files
ID 17022 → 2 files
ID 17024 → 2 files
ID 17025 → 2 files
ID 17026 → 2 files
ID 17031 → 2 files
ID 17033 → 2 files
ID 17036 → 2 files
ID 17044 → 2 files
ID 17045 → 2 files
ID 17049 → 2 files
ID 17051 → 2 files
ID 17072 → 2 files
ID 17079 → 2 files
ID 17084 → 2 files
ID 17091 → 2 files
ID 17092 → 2 files
ID 17097 → 2 files
ID 17101 → 2 files
ID 17108 → 2 files
ID 17113 → 2 files
ID 17122 → 2 files
ID 17125 → 2 files
ID 17126 → 2 files
ID 17128 → 2 files
ID 17129 → 2 files
ID 17130 → 2 files
ID 17131 → 2 files
ID 17140 → 2 files
ID 17141 → 2 files
ID 17146 → 2 files
ID 17148 → 2 files
ID 17149 → 2 files
ID 17151 → 2 files
ID 17156 → 2 files
ID 17157 → 2 files
ID 17159 → 2 files
ID 17167 → 2 files
ID 17173 → 2 files
ID 17177 → 2 files
ID 17178 → 2 files
ID 17179 → 2 files
ID 17183 → 2 files
ID 17184 → 2 files
ID 17185 → 2 files
ID 17186 → 2 files
ID 17191 → 2 files
ID 17215 → 2 files
ID 17217 → 2 files
ID 17219 → 2 files
ID 17221 → 2 files
ID 17224 → 2 files
ID 17239 → 2 files
ID 17241 → 2 files
ID 17242 → 2 files
ID 17243 → 2 files
ID 17260 → 2 files
ID 17262 → 2 files
ID 17263 → 2 files
ID 17267 → 2 files
ID 17281 → 2 files
ID 17285 → 2 files
ID 17288 → 2 files
ID 17295 → 2 files
ID 17300 → 2 files
ID 17306 → 2 files
ID 17307 → 2 files
ID 17317 → 2 files
ID 17319 → 2 files
ID 17329 → 2 files
ID 17330 → 2 files
ID 17331 → 2 files
ID 17342 → 2 files
ID 17343 → 2 files
ID 17344 → 2 files
ID 17349 → 2 files
ID 17353 → 2 files
ID 17354 → 2 files
ID 17355 → 2 files
ID 17357 → 2 files
ID 17359 → 2 files
ID 17360 → 2 files
ID 17368 → 2 files
ID 17369 → 2 files
ID 17379 → 2 files
ID 17398 → 2 files
ID 17404 → 2 files
ID 17405 → 2 files
ID 17408 → 2 files
ID 17409 → 2 files
ID 17410 → 2 files
ID 17415 → 2 files
ID 17417 → 2 files
ID 17418 → 2 files
ID 17420 → 2 files
ID 17424 → 2 files
ID 17425 → 2 files
ID 17429 → 2 files
ID 17430 → 2 files
ID 17432 → 2 files
ID 17440 → 2 files
ID 17442 → 2 files
ID 17443 → 2 files
ID 17446 → 2 files
ID 17452 → 2 files
ID 17454 → 2 files
ID 17458 → 2 files
ID 17459 → 2 files
ID 17462 → 2 files
ID 17463 → 2 files
ID 17474 → 2 files
ID 17482 → 2 files
ID 17486 → 2 files
ID 17489 → 2 files
ID 17494 → 2 files
ID 17496 → 2 files
ID 17498 → 2 files
ID 17499 → 2 files
ID 17506 → 2 files
